kabupaten,tahun,A_Pertanian_KP,B_Pertambangan,C_Industri_Pengolahan,D_Pengadaan_LG,E_Pengadaan_Air_dll,F_Konstruksi,G_Perdagangan_Besar_dll,H_Transportasi,I_Penyediaan_AkMamin,J_Infokom,K_Jasa_Keuangan,L_Real_Estate,M_N_Jasa_Perusahaan,O_Administrasi_Pem,P_Jasa_Pendidikan,Q_Jasa_KesSos,R_S_T_U_Jasa_Lain,PDRB,ipm,miskin,pertumbuhan,gini,unemploy,pop_ribujiwa,pdrb_perkap,pct_formal,pend_miskin,Pertumbuhan_Inklusif,Kategori_Inklusif
Bone,2016,8454.42,507.05,1225.64,22.59,7.41,1661.7,571.17,2213.68,413.91,94.56,372.03,522.87,11.42,754.19,429.19,177.88,58.48,17498.18,63.86,10.07,9.01,0.39,4.36,745.86,35.15,28.5,75.09,0.5606,CUKUP INKLUSIF
Bone,2017,9164.71,563.0,1315.92,23.89,7.79,1815.31,598.21,2436.76,442.96,105.76,410.73,550.05,12.33,793.69,470.4,194.12,64.92,18970.53,64.16,10.28,8.41,0.39,4.55,748.71,39.04,28.5,77.13,0.5547,CUKUP INKLUSIF
Bone,2018,9972.95,624.83,1347.7,25.41,8.46,1968.53,626.06,2726.07,493.69,119.38,459.37,585.16,13.54,885.47,517.06,213.08,73.29,20660.07,65.04,10.55,8.91,0.41,2.82,751.32,43.87,30.16,79.57,0.5574,CUKUP INKLUSIF
Bone,2019,10305.18,682.79,1571.69,26.45,9.04,2157.57,664.39,2992.5,550.42,130.02,502.21,602.64,14.98,1027.01,556.41,234.3,80.44,22108.04,65.67,10.06,7.01,0.37,3.01,753.69,47.81,29.82,76.25,0.5647,CUKUP INKLUSIF
Bone,2020,10207.02,695.39,1541.61,27.87,9.79,2201.28,698.26,2905.24,482.2,117.28,560.59,618.2,13.68,1024.89,613.88,263.9,72.67,22053.74,66.06,10.68,-0.25,0.4,3.2,801.77,45.68,25.73,81.33,0.4367,CUKUP INKLUSIF
Bone,2021,10965.84,703.06,1625.18,32.28,10.02,2321.68,705.14,2966.12,505.48,120.72,596.1,660.59,14.05,1069.51,623.54,277.57,76.98,23273.87,66.4,10.52,5.53,0.38,4.15,808.94,48.67,27.22,79.64,0.5429,CUKUP INKLUSIF
Bone,2022,11524.54,720.06,1752.2,36.95,10.42,2462.22,717.67,3098.14,547.62,131.32,679.44,676.66,15.28,1120.18,618.44,289.56,91.01,24491.73,67.01,10.58,5.23,0.38,2.27,816.01,53.48,27.84,80.34,0.545,CUKUP INKLUSIF
Bone,2023,11837.18,739.52,1833.03,39.16,10.07,2535.64,785.36,3243.78,610.43,141.71,707.14,679.21,18.53,1126.94,698.48,294.12,115.72,25416.03,67.81,10.53,3.77,0.39,2.88,823.08,57.02,29.15,80.12,0.5243,CUKUP INKLUSIF
Bone,2024,12569.58,742.05,1923.86,40.66,10.02,2587.96,830.12,3439.02,652.07,147.65,730.19,717.64,19.33,1204.07,758.7,321.1,131.36,26825.37,68.36,9.58,5.56,0.39,2.28,830.12,60.26,28.42,73.03,0.5575,CUKUP INKLUSIF
Bone,2025,13499.54,739.3,2082.15,41.09,10.16,2660.52,3628.19,694.51,157.36,762.4,782.08,868.28,20.29,1227.76,787.68,340.07,146.01,28447.38,71.63,9.13,6.03,0.39,2.75,837.1,64.76,34.97,69.73,0.6005,CUKUP INKLUSIF
Bulukumba,2010,2217.61,61.52,338.72,7.47,1.44,397.09,636.13,93.5,20.24,116.52,133.31,153.8,0.66,357.14,129.02,46.05,30.43,4740.63,62.73,9.02,5.71,0.55,7.45,394.56,11.98,46.38,35.6,0.3809,CUKUP INKLUSIF
Bulukumba,2011,2270.4,69.34,362.26,8.36,1.64,420.18,675.96,101.34,23.34,130.23,156.69,168.1,0.72,385.38,142.82,49.99,34.02,5000.76,63.36,8.12,5.49,0.52,5.46,399.0,13.3,45.87,32.4,0.4065,CUKUP INKLUSIF
Bulukumba,2012,2468.52,82.14,390.96,9.58,2.02,465.27,751.55,113.06,26.74,148.43,180.81,192.05,0.83,393.79,164.26,55.11,38.12,5483.24,63.82,7.83,9.65,0.49,2.71,401.9,15.53,46.07,31.5,0.4967,CUKUP INKLUSIF
Bulukumba,2013,2603.17,87.42,418.43,10.21,2.38,502.38,831.68,121.08,30.45,194.03,193.61,225.54,0.96,410.77,176.58,59.31,41.28,5909.29,64.27,9.04,7.77,0.46,4.16,404.9,17.75,29.82,36.7,0.495,CUKUP INKLUSIF
Bulukumba,2014,2871.18,104.22,435.15,10.97,2.82,519.94,909.73,133.58,33.5,223.67,207.88,249.87,1.2,419.99,181.08,64.69,44.23,6413.7,65.24,8.37,8.54,0.42,2.8,407.77,20.54,33.47,34.2,0.5466,CUKUP INKLUSIF
Bulukumba,2015,2916.53,121.46,470.35,11.46,2.83,565.18,991.35,142.98,37.54,241.4,225.56,281.34,1.28,449.7,196.21,70.73,48.41,6774.32,65.58,8.15,5.62,0.39,3.0,410.24,23.31,27.95,33.36,0.5279,CUKUP INKLUSIF
Bulukumba,2016,3041.37,139.55,495.89,12.96,2.95,614.38,1099.11,152.2,42.58,265.24,255.51,320.27,1.35,447.55,212.61,76.75,52.59,7232.84,66.46,8.06,6.77,0.38,3.0,412.68,26.06,37.39,33.25,0.5624,CUKUP INKLUSIF
Bulukumba,2017,3203.65,157.74,511.17,13.7,3.08,671.64,1197.5,165.81,47.87,290.11,263.32,360.44,1.48,469.04,232.9,83.7,57.75,7730.91,67.08,7.97,6.89,0.32,3.73,414.79,29.03,36.96,33.1,0.6149,CUKUP INKLUSIF
