kabupaten,tahun,A_Pertanian_KP,B_Pertambangan,C_Industri_Pengolahan,D_Pengadaan_LG,E_Pengadaan_Air_dll,F_Konstruksi,G_Perdagangan_Besar_dll,H_Transportasi,I_Penyediaan_AkMamin,J_Infokom,K_Jasa_Keuangan,L_Real_Estate,M_N_Jasa_Perusahaan,O_Administrasi_Pem,P_Jasa_Pendidikan,Q_Jasa_KesSos,R_S_T_U_Jasa_Lain,PDRB,ipm,miskin,pertumbuhan,gini,unemploy,pop_ribujiwa,pdrb_perkap,pct_formal,pend_miskin,Pertumbuhan_Inklusif,Kategori_Inklusif
Maros,2013,1601.41,624.61,1967.11,7.93,10.49,535.78,326.54,3441.36,32.91,140.73,142.17,144.71,2.54,361.66,171.58,63.93,36.82,9612.26,66.06,12.94,6.28,0.44,5.71,331.8,36.07,57.57,43.1,0.5066,CUKUP INKLUSIF
Maros,2014,1750.0,736.33,2337.24,9.66,10.81,573.02,354.45,3161.03,34.75,143.7,147.01,150.43,2.62,373.17,174.91,69.99,37.71,10066.82,66.65,11.93,4.73,0.4,4.6,335.6,40.11,58.89,40.1,0.5188,CUKUP INKLUSIF
Maros,2015,1888.86,828.87,2586.45,8.97,10.87,627.45,371.95,3407.38,37.14,153.27,153.62,158.7,2.71,398.31,180.15,76.29,39.22,10930.22,67.13,11.85,8.44,0.44,6.99,338.92,45.94,60.2,40.08,0.5512,CUKUP INKLUSIF
Maros,2016,2069.24,955.85,2653.47,10.04,10.98,675.64,396.96,3917.73,39.63,160.21,168.98,167.67,2.8,432.04,187.36,80.8,40.99,11970.4,67.76,11.41,9.5,0.41,6.99,342.48,52.09,61.51,39.02,0.5962,CUKUP INKLUSIF
Maros,2017,2203.48,1142.05,2733.88,10.65,12.17,737.51,415.44,4175.99,41.56,168.7,169.51,178.65,3.06,453.02,193.92,84.11,44.6,12768.32,68.42,11.14,6.81,0.37,6.85,345.63,56.12,62.83,38.5,0.5918,CUKUP INKLUSIF
Maros,2018,2312.48,1253.53,2747.09,11.23,13.08,807.44,451.11,4541.58,46.55,179.84,176.66,190.66,3.37,478.68,207.04,88.46,49.94,13558.74,68.94,10.31,6.19,0.34,6.19,348.68,60.92,44.69,35.97,0.61,CUKUP INKLUSIF
Maros,2019,2434.72,1419.9,2787.67,11.93,15.2,950.69,508.1,4040.99,53.22,190.75,189.05,204.73,3.74,540.34,224.92,93.74,56.59,13726.28,69.5,9.89,1.24,0.38,4.42,351.65,64.6,46.38,34.85,0.5117,CUKUP INKLUSIF
Maros,2020,2378.99,1432.11,2604.39,11.36,17.33,1084.87,497.27,2606.87,43.12,214.95,196.64,217.65,3.71,359.4,231.46,102.68,52.87,12233.66,69.86,9.74,-10.87,0.37,6.28,391.77,47.73,42.86,34.62,0.3389,CUKUP INKLUSIF
Maros,2021,2572.86,1522.62,2388.25,11.74,17.55,1135.85,515.35,2612.26,44.75,228.88,203.56,225.0,3.83,517.84,233.43,110.68,56.16,12400.62,70.41,9.57,1.36,0.37,6.3,396.29,47.96,45.68,34.11,0.5308,CUKUP INKLUSIF
Maros,2022,2603.62,1565.6,2504.76,12.14,17.85,1165.43,532.49,3485.34,47.32,230.94,201.97,235.27,3.91,517.73,236.52,112.12,59.93,13532.96,71.0,9.43,9.13,0.36,5.04,402.15,58.55,46.36,33.9,0.6627,INKLUSIF
Maros,2023,2606.12,1651.56,2611.42,12.52,17.83,1199.69,550.92,3884.27,49.31,238.3,197.31,244.53,4.1,516.84,242.7,118.39,64.35,14210.16,71.63,9.65,5.0,0.37,3.64,407.92,64.69,48.17,34.96,0.5995,CUKUP INKLUSIF
Maros,2024,2729.94,1686.55,2702.38,12.69,18.46,1227.99,573.13,4031.32,50.93,244.81,200.88,264.52,4.19,558.67,250.37,123.76,68.18,14748.76,72.11,9.32,3.79,0.35,4.34,413.59,69.21,57.64,34.0,0.601,CUKUP INKLUSIF
Maros,2025,2847.09,1778.5,2751.19,12.84,19.39,1275.55,607.62,4210.71,54.99,253.86,217.54,287.71,4.53,581.39,262.87,134.35,74.66,15374.77,74.79,8.9,4.24,0.34,4.13,419.2,71.36,50.03,32.67,0.6445,CUKUP INKLUSIF
Palopo,2010,665.44,5.24,93.77,2.74,9.55,477.31,501.19,149.5,34.14,143.02,188.34,134.36,2.88,241.82,150.22,69.62,43.91,2913.05,73.03,11.28,6.67,0.5,10.52,147.93,19.63,61.59,16.8,0.5451,CUKUP INKLUSIF
Palopo,2011,631.76,5.47,98.27,3.12,10.55,532.45,566.56,164.41,37.63,160.52,229.88,155.01,3.06,257.27,166.62,73.97,46.64,3143.19,74.02,10.22,7.9,0.48,9.47,152.57,21.81,60.72,15.3,0.5893,CUKUP INKLUSIF
Palopo,2012,657.2,5.85,99.72,3.4,11.25,526.01,661.28,179.91,40.44,179.51,267.2,163.42,3.2,268.53,170.17,78.49,47.67,3363.25,74.54,9.47,7.0,0.46,8.43,156.6,23.57,59.86,14.9,0.5959,CUKUP INKLUSIF
Palopo,2013,695.64,5.74,103.62,3.83,11.77,557.36,762.34,192.57,42.59,196.19,291.47,172.09,3.4,275.76,182.52,87.15,48.98,3633.01,75.02,9.57,8.02,0.44,9.03,160.82,26.0,59.0,15.5,0.6313,CUKUP INKLUSIF
Palopo,2014,753.1,5.68,109.55,4.82,12.29,580.3,863.45,209.9,44.68,201.74,304.33,183.32,3.59,282.57,185.77,93.95,50.19,3889.24,75.65,8.8,7.05,0.4,8.1,164.9,28.8,58.14,14.6,0.6528,CUKUP INKLUSIF
Palopo,2015,755.64,5.94,115.28,4.58,12.34,609.16,968.89,225.17,47.88,217.52,326.92,193.93,3.73,301.3,197.01,103.72,51.87,4140.87,76.27,8.58,6.47,0.43,12.07,168.45,31.68,57.27,14.51,0.6288,CUKUP INKLUSIF
Palopo,2016,759.03,6.27,121.15,5.0,12.8,654.71,1073.95,242.11,51.93,239.82,375.79,207.07,3.91,299.24,207.14,113.66,54.92,4428.5,76.45,8.74,6.95,0.37,12.07,171.96,34.04,56.41,15.02,0.682,INKLUSIF
Palopo,2017,803.17,6.54,125.48,5.37,13.65,696.64,1183.42,259.99,55.75,267.54,376.91,222.55,4.22,315.27,224.2,124.96,60.24,4745.9,76.71,8.78,7.17,0.34,10.96,175.11,36.83,55.55,15.44,0.7101,INKLUSIF
Palopo,2018,830.61,6.71,129.18,5.67,14.75,734.33,1291.73,286.15,59.8,303.02,383.21,233.02,4.61,368.09,247.46,137.06,67.61,5102.99,77.3,7.49,7.52,0.34,11.6,178.25,40.32,58.37,14.27,0.7219,INKLUSIF
Palopo,2019,871.74,6.82,139.2,5.89,15.42,779.14,1421.61,312.34,64.55,335.22,382.09,246.38,5.07,380.14,262.1,145.79,73.88,5447.36,77.98,7.82,6.75,0.34,9.67,181.4,43.79,68.45,14.37,0.7177,INKLUSIF
Palopo,2020,884.51,6.76,130.85,6.1,15.42,774.84,1426.6,268.07,60.02,376.6,391.48,258.25,4.97,377.91,265.76,150.56,73.37,5472.08,78.06,7.85,0.45,0.35,10.37,184.68,43.66,58.01,14.71,0.6155,CUKUP INKLUSIF
Palopo,2021,923.6,7.16,134.79,6.37,15.4,816.75,1491.21,304.64,64.27,387.66,423.52,265.22,5.14,399.87,272.25,172.78,77.63,5768.28,78.38,8.14,5.41,0.36,8.83,186.9,46.63,59.89,15.21,0.6871,INKLUSIF
Palopo,2022,956.0,8.06,147.42,6.59,16.45,894.51,1568.53,345.35,68.42,409.51,446.9,283.1,5.68,400.16,270.4,183.83,93.85,6104.74,78.91,7.78,5.83,0.37,8.2,189.84,51.45,57.68,14.78,0.692,INKLUSIF
Palopo,2023,951.24,8.55,155.98,7.11,17.32,940.22,1648.94,367.16,74.18,435.33,488.69,298.69,6.24,392.6,277.42,196.16,103.87,6369.71,79.45,7.69,4.34,0.37,7.81,192.76,54.47,59.32,14.85,0.6752,INKLUSIF
Palopo,2024,949.39,8.84,163.41,7.3,18.48,947.88,1732.73,385.3,79.65,467.51,511.49,316.98,6.57,425.22,298.91,211.84,118.57,6650.07,79.94,7.35,4.4,0.33,7.64,195.67,56.65,57.23,14.43,0.7108,INKLUSIF
Palopo,2025,998.29,9.07,169.44,7.53,18.85,979.6,1797.8,419.38,80.89,492.17,543.21,335.93,6.9,423.43,317.81,225.57,129.41,6955.29,81.74,7.18,4.59,0.33,7.53,198.5,59.37,55.79,14.31,0.7334,INKLUSIF
Pangkep,2010,1502.58,774.67,4191.68,5.86,3.89,418.21,462.99,334.92,38.06,134.22,74.84,132.9,0.56,353.97,131.91,88.91,2.45,8652.63,62.79,19.26,7.96,0.49,9.65,305.74,28.21,43.96,59.0,0.4597,CUKUP INKLUSIF
Pangkep,2011,1620.76,851.43,4659.34,6.23,4.23,458.3,495.68,376.85,40.13,144.59,83.39,140.83,0.58,373.86,150.09,94.59,2.95,9503.81,63.6,17.36,9.84,0.47,6.09,310.29,32.22,43.97,53.7,0.5118,CUKUP INKLUSIF
Pangkep,2012,1648.16,897.46,5107.1,7.26,4.46,488.14,559.5,414.14,44.65,177.48,93.49,155.93,0.63,388.19,182.2,116.34,3.51,10288.64,64.3,16.63,8.26,0.46,8.03,313.72,37.51,43.99,52.3,0.5028,CUKUP INKLUSIF
Pangkep,2013,1714.85,919.56,5771.53,7.82,4.73,527.2,622.04,440.36,47.96,204.19,103.85,170.52,0.68,393.41,190.31,125.88,3.58,11248.48,65.24,17.75,9.33,0.44,5.7,317.11,43.39,44.0,56.4,0.544,CUKUP INKLUSIF
Pangkep,2014,1895.7,993.45,6522.2,9.29,4.75,540.86,667.43,491.11,51.18,204.63,108.63,191.66,0.71,402.79,194.5,137.2,3.69,12419.76,66.16,16.38,10.41,0.43,9.9,320.29,49.86,44.02,52.6,0.5778,CUKUP INKLUSIF
Pangkep,2015,2025.5,1072.76,7077.96,8.96,4.76,585.84,725.28,472.27,54.44,226.48,116.71,205.82,0.75,424.52,210.48,150.45,4.03,13367.01,66.65,16.7,7.63,0.39,7.01,323.3,56.94,44.03,53.85,0.5702,CUKUP INKLUSIF
Pangkep,2016,2174.81,1199.4,7741.44,9.78,4.92,638.14,782.1,459.74,58.22,244.24,134.81,219.63,0.8,420.0,223.78,161.12,4.37,14477.29,66.86,16.22,8.31,0.42,7.01,326.48,62.92,44.05,52.86,0.5609,CUKUP INKLUSIF
Pangkep,2017,2350.19,1297.27,8132.34,10.36,5.3,695.61,862.72,514.59,65.16,260.85,136.16,238.01,0.86,440.63,243.18,175.5,4.78,15433.5,67.25,16.22,6.6,0.37,7.05,329.27,67.6,44.06,53.38,0.5758,CUKUP INKLUSIF
Pangkep,2018,2584.26,1439.25,8144.0,10.69,5.87,769.83,976.09,548.05,75.35,295.77,134.85,253.1,0.97,465.63,267.92,191.77,5.51,16168.91,67.71,15.1,4.77,0.32,6.91,331.98,71.98,42.62,50.12,0.5896,CUKUP INKLUSIF
Pangkep,2019,2833.96,1602.2,8410.85,10.8,6.04,832.62,1068.95,620.14,81.64,330.12,137.53,268.22,1.07,498.27,287.98,208.76,6.03,17205.17,68.29,14.06,6.41,0.33,4.99,334.6,77.68,45.87,47.07,0.6135,CUKUP INKLUSIF
Pangkep,2020,2860.37,1610.08,8074.9,10.39,6.5,856.09,1045.84,535.41,74.53,369.17,141.64,279.1,0.99,497.29,315.98,231.43,5.51,16915.23,68.72,13.96,-1.69,0.35,5.18,345.77,74.38,41.9,47.12,0.4805,CUKUP INKLUSIF
Pangkep,2021,3201.13,1746.77,7876.92,12.18,6.78,940.67,1131.75,574.75,78.89,401.7,152.8,290.74,1.07,492.76,333.58,252.14,6.0,17500.61,69.21,14.28,3.46,0.36,5.86,348.51,79.12,44.44,48.4,0.5569,CUKUP INKLUSIF
Pangkep,2022,3361.15,1833.24,8106.59,16.5,7.37,999.27,1243.61,671.94,96.35,430.34,150.11,309.26,1.23,507.57,345.65,276.8,6.62,18363.59,69.79,13.92,4.93,0.33,5.23,352.06,86.58,42.81,47.53,0.6075,CUKUP INKLUSIF
Pangkep,2023,3148.4,1921.93,8941.28,16.63,7.37,1021.39,1296.74,709.25,96.42,443.56,139.45,316.91,1.33,523.7,358.17,286.95,7.22,19236.71,70.59,13.4,4.75,0.35,5.05,355.61,91.86,46.71,46.06,0.5989,CUKUP INKLUSIF
Pangkep,2024,3437.32,1989.51,9291.73,16.76,7.61,1049.82,1376.6,736.31,102.38,456.86,139.86,342.29,1.46,551.04,382.5,307.65,7.9,20197.59,71.22,12.41,5.0,0.32,3.99,359.16,96.36,45.62,42.94,0.6316,CUKUP INKLUSIF
Pangkep,2025,3815.26,2251.08,9367.42,13.97,8.27,1140.41,1442.89,738.06,110.15,483.69,146.85,369.56,1.66,562.93,412.08,333.28,8.99,21206.55,74.62,11.6,5.0,0.27,3.9,362.7,104.7,41.15,40.37,0.7055,INKLUSIF
Parepare,2010,150.65,6.78,59.05,2.41,8.99,399.0,440.52,143.64,143.67,177.91,174.59,205.54,7.22,355.07,203.02,111.96,80.51,2670.53,73.55,6.53,7.99,0.64,11.85,129.26,20.59,53.85,8.5,0.4684,CUKUP INKLUSIF
Parepare,2011,163.58,7.31,62.91,2.66,9.91,438.1,472.44,156.97,154.22,199.03,197.67,236.14,7.75,370.35,208.45,122.2,85.8,2895.48,74.2,5.91,8.42,0.6,7.97,131.51,23.37,53.39,7.7,0.5114,CUKUP INKLUSIF
Parepare,2012,166.54,7.85,67.56,3.02,10.16,472.27,518.49,170.34,175.35,230.85,223.34,268.83,8.41,375.1,224.49,134.53,93.13,3150.26,74.67,5.58,8.8,0.56,4.21,133.38,26.25,52.94,7.5,0.5516,CUKUP INKLUSIF
Parepare,2013,185.56,8.29,73.7,3.09,10.68,516.84,557.55,183.21,189.27,253.66,237.13,306.36,9.16,383.56,238.76,145.44,98.31,3400.55,75.1,6.38,7.95,0.52,4.86,135.19,29.15,52.48,8.6,0.5726,CUKUP INKLUSIF
Parepare,2014,214.79,9.14,77.73,3.89,10.77,536.79,586.04,205.0,206.94,254.44,266.49,334.32,9.61,391.52,243.05,160.42,104.95,3615.9,75.66,5.88,6.33,0.5,7.1,136.9,32.39,52.02,8.1,0.5688,CUKUP INKLUSIF
Parepare,2015,235.79,9.99,82.51,3.74,11.15,554.13,613.68,215.75,226.49,269.95,296.18,364.15,10.17,409.27,253.63,175.35,111.79,3843.72,76.31,6.08,6.3,0.42,8.48,138.6,36.5,51.56,8.41,0.634,CUKUP INKLUSIF
Parepare,2016,259.58,10.81,88.02,4.05,11.54,576.31,661.01,226.61,248.26,289.85,351.94,389.29,10.78,407.02,265.22,190.35,117.16,4107.81,76.48,5.73,6.87,0.39,8.48,140.23,39.35,51.11,8.02,0.6665,INKLUSIF
Parepare,2017,282.48,11.09,93.63,4.3,12.54,601.83,711.36,245.42,272.34,309.38,372.42,428.44,11.49,420.81,279.26,208.63,128.91,4394.32,76.68,5.7,6.98,0.38,6.47,141.67,42.88,50.65,8.07,0.6777,INKLUSIF
Parepare,2018,306.04,11.35,95.73,4.65,13.55,640.81,777.25,266.2,303.39,340.33,383.0,449.62,12.43,358.22,304.13,229.0,143.7,4639.4,77.19,5.59,5.58,0.38,6.81,143.07,45.94,54.61,8.01,0.662,INKLUSIF
Parepare,2019,323.07,11.3,103.61,4.9,13.96,689.15,830.8,290.11,323.43,361.14,390.77,465.56,13.2,409.96,321.8,239.92,155.11,4947.79,77.62,5.26,6.65,0.35,6.17,144.45,50.06,61.59,7.62,0.7049,INKLUSIF
Parepare,2020,327.94,11.19,101.54,5.03,14.46,685.45,796.22,247.19,320.13,390.83,407.24,483.91,12.06,407.91,337.31,265.05,130.58,4944.03,77.86,5.44,-0.08,0.37,7.14,151.45,48.5,54.09,7.96,0.5906,CUKUP INKLUSIF
Parepare,2021,326.23,11.23,109.15,5.23,14.57,697.51,856.06,264.72,337.47,410.77,429.48,492.11,12.5,434.06,350.07,281.5,129.45,5162.1,78.21,5.4,4.41,0.38,6.72,153.38,51.03,55.69,7.93,0.6554,CUKUP INKLUSIF
Parepare,2022,326.32,11.24,118.24,5.45,14.56,728.3,941.08,309.55,362.35,415.83,425.72,499.26,13.32,452.03,378.08,303.15,163.96,5468.43,78.54,5.41,5.93,0.38,5.6,155.91,55.78,56.03,8.01,0.6821,INKLUSIF
Parepare,2023,338.31,11.33,121.04,5.75,14.6,759.04,990.62,330.06,388.1,435.79,403.73,522.58,14.0,448.24,409.29,315.75,172.6,5680.82,79.03,5.34,3.88,0.38,5.86,158.43,58.78,57.79,7.98,0.6563,CUKUP INKLUSIF
Parepare,2024,355.9,10.74,124.65,6.08,15.06,804.64,1045.27,353.57,403.0,463.98,403.34,541.44,14.19,464.93,433.67,340.83,188.49,5969.77,79.64,5.27,5.09,0.38,5.23,160.92,61.97,55.84,7.94,0.6814,INKLUSIF
Parepare,2025,380.75,0.89,132.01,5.99,15.41,808.63,1085.83,366.61,420.11,493.61,425.99,577.88,14.49,463.73,451.49,366.5,204.69,6214.61,81.5,4.44,4.1,0.34,4.98,163.4,65.02,51.6,6.73,0.716,INKLUSIF
Pinrang,2010,3228.41,111.79,407.72,6.85,0.62,626.34,785.34,182.66,55.38,149.81,112.78,206.3,10.22,328.44,239.6,86.49,56.63,6595.39,66.25,9.01,5.7,0.43,7.79,351.12,18.73,36.92,31.7,0.5072,CUKUP INKLUSIF
Pinrang,2011,3431.73,120.53,436.51,7.7,0.62,682.22,872.9,196.45,59.76,171.95,135.81,228.36,10.34,352.81,247.96,90.16,58.35,7104.14,66.96,8.12,7.71,0.42,6.55,355.31,21.25,36.84,28.9,0.5529,CUKUP INKLUSIF
Pinrang,2012,3636.81,139.83,479.98,8.63,0.62,749.49,999.77,215.12,66.52,202.74,157.3,252.42,10.47,373.03,256.77,98.7,60.69,7708.9,67.64,7.83,8.51,0.41,5.35,358.31,24.39,36.76,28.1,0.5798,CUKUP INKLUSIF
Pinrang,2013,3825.26,156.36,520.49,9.73,0.58,826.68,1110.5,231.74,71.45,237.31,172.9,269.34,10.86,389.92,266.75,107.4,62.32,8269.61,68.14,8.86,7.27,0.39,1.96,361.29,27.38,36.68,32.1,0.5811,CUKUP INKLUSIF
Pinrang,2014,4180.64,178.15,559.44,10.94,0.53,856.3,1234.56,252.5,78.45,249.34,182.31,289.64,10.92,398.83,275.35,116.86,65.73,8940.48,68.92,8.2,8.11,0.34,2.8,364.09,31.22,36.6,29.9,0.639,CUKUP INKLUSIF
Pinrang,2015,4556.39,197.48,598.25,11.32,0.53,911.36,1347.05,272.63,84.34,269.68,196.81,312.41,11.53,421.65,289.38,126.08,70.42,9677.33,69.24,8.34,8.24,0.41,4.85,366.58,35.83,36.52,30.51,0.5932,CUKUP INKLUSIF
Pinrang,2016,4892.69,223.06,647.62,11.91,0.54,967.71,1477.64,289.78,90.96,295.68,226.28,337.15,12.42,396.72,313.73,135.92,77.28,10397.11,69.42,8.48,7.44,0.38,4.85,369.49,39.78,36.44,31.28,0.605,CUKUP INKLUSIF
Pinrang,2017,5267.11,248.09,701.12,12.62,0.57,1031.81,1622.76,311.62,98.77,324.62,231.33,359.34,13.29,416.09,341.72,147.08,84.67,11212.62,69.9,8.46,7.84,0.31,4.41,372.03,43.95,36.36,31.43,0.6676,INKLUSIF
Pinrang,2018,5514.35,271.62,720.78,13.75,0.62,1104.63,1820.61,340.95,111.37,361.65,244.13,379.13,14.6,456.74,375.25,161.51,95.75,11987.44,70.62,8.81,6.91,0.36,3.04,374.46,48.29,36.15,32.94,0.6248,CUKUP INKLUSIF
Pinrang,2019,5700.35,296.88,794.07,15.32,0.63,1232.74,1989.82,375.41,122.2,401.28,249.46,400.74,15.63,490.08,406.61,177.19,101.66,12770.08,71.12,8.46,6.53,0.34,2.91,376.78,52.1,36.96,31.85,0.6391,CUKUP INKLUSIF
Pinrang,2020,5716.12,303.56,785.74,16.0,0.67,1243.77,1968.92,331.95,109.44,455.1,250.3,419.11,14.38,497.66,429.79,193.54,90.4,12826.45,71.26,8.86,0.44,0.38,4.19,403.99,49.84,33.93,33.56,0.5188,CUKUP INKLUSIF
Pinrang,2021,6009.18,321.63,829.31,17.07,0.7,1241.39,2099.01,362.37,118.31,486.32,262.24,428.87,15.15,532.49,444.02,206.65,97.77,13472.49,71.45,8.81,5.04,0.37,4.06,408.55,53.26,34.47,33.51,0.5981,CUKUP INKLUSIF
Pinrang,2022,6074.89,349.12,910.85,18.3,0.8,1326.74,2264.08,424.73,138.25,520.23,258.15,451.15,17.59,527.74,468.0,225.22,106.83,14082.65,71.97,8.79,4.53,0.36,2.79,413.97,57.41,33.32,33.64,0.6034,CUKUP INKLUSIF
Pinrang,2023,5956.37,382.05,936.55,19.18,0.9,1386.98,2408.83,464.9,157.83,549.97,251.31,477.89,19.29,528.99,486.51,242.5,118.92,14388.99,72.84,8.9,2.18,0.34,3.64,419.34,59.97,34.72,34.23,0.5919,CUKUP INKLUSIF
Pinrang,2024,6292.39,398.69,992.88,20.65,0.83,1462.33,2550.61,489.14,167.72,593.56,255.64,503.74,20.29,558.25,518.15,256.71,128.62,15210.21,73.55,8.55,5.71,0.3,3.12,424.65,62.77,38.68,33.04,0.6826,INKLUSIF
Pinrang,2025,6631.1,416.08,1067.31,20.36,0.84,1519.32,2699.96,522.33,180.69,626.43,273.51,537.85,21.65,571.42,539.79,273.53,141.4,16043.55,75.87,8.38,5.48,0.32,3.65,429.9,66.89,33.78,32.52,0.6899,INKLUSIF
Selayar,2010,775.08,12.2,64.13,2.41,2.38,284.16,162.4,41.1,4.6,52.67,16.86,31.04,0.25,194.49,117.55,36.99,8.99,1807.29,62.15,14.98,7.96,0.36,8.2,122.06,14.77,,18.3,0.5478,CUKUP INKLUSIF
Selayar,2011,850.34,13.59,67.83,2.63,2.74,312.47,171.44,44.72,4.82,57.99,20.71,33.66,0.29,210.57,126.46,37.93,9.64,1967.83,62.53,13.49,8.88,0.35,4.68,124.1,17.08,,16.7,0.5733,CUKUP INKLUSIF
Selayar,2012,906.78,15.98,71.12,2.94,3.06,349.43,188.8,48.2,5.11,64.48,24.5,36.5,0.33,217.81,137.0,40.45,10.33,2122.81,62.87,12.87,7.88,0.35,3.25,125.6,19.62,,16.2,0.5618,CUKUP INKLUSIF
Selayar,2013,967.72,17.62,76.4,3.18,3.34,396.7,203.42,52.39,5.42,71.89,28.02,39.68,0.38,229.42,146.81,43.05,10.91,2296.37,63.16,14.23,8.18,0.35,4.62,127.22,22.64,,18.2,0.5695,CUKUP INKLUSIF
Selayar,2014,1084.85,19.89,80.53,3.56,3.54,430.62,221.14,58.02,5.69,76.78,28.69,43.06,0.43,236.99,151.89,45.99,11.67,2503.35,63.66,13.13,9.01,0.34,2.1,128.74,27.14,,17.0,0.595,CUKUP INKLUSIF
Selayar,2015,1188.49,22.16,84.96,3.87,3.57,473.44,237.82,62.6,5.98,84.88,31.68,46.44,0.45,255.03,161.67,48.94,12.43,2724.4,64.32,12.94,8.83,0.35,0.9,130.08,31.86,,16.9,0.5921,CUKUP INKLUSIF
Selayar,2016,1296.94,24.42,90.95,4.32,3.78,521.08,261.44,68.41,6.53,92.46,36.49,49.92,0.49,227.79,173.13,52.89,13.69,2924.72,64.95,13.11,7.35,0.34,0.9,131.27,35.46,,17.21,0.5839,CUKUP INKLUSIF
Selayar,2017,1390.77,26.44,97.78,4.58,4.11,565.62,273.41,75.39,7.16,101.0,37.98,54.01,0.53,240.29,193.69,59.38,15.23,3147.39,65.39,13.28,7.61,0.33,2.34,132.31,39.27,,17.61,0.6,CUKUP INKLUSIF
Selayar,2018,1501.93,27.94,99.65,4.9,4.44,624.29,297.72,83.22,8.54,110.41,40.39,56.27,0.58,278.14,202.32,64.8,17.14,3422.67,66.04,13.13,8.75,0.34,1.88,133.31,43.62,41.78,17.59,0.6171,CUKUP INKLUSIF
Selayar,2019,1616.63,29.13,118.68,5.1,4.85,648.26,324.34,95.13,10.07,125.29,42.87,58.43,0.64,295.64,218.13,71.61,20.88,3685.67,66.91,12.83,7.68,0.3,1.1,134.29,47.99,43.11,17.36,0.6397,CUKUP INKLUSIF
Selayar,2020,1501.47,29.55,118.44,5.48,5.51,661.28,322.96,77.05,8.88,139.5,44.68,64.47,0.57,306.42,233.89,80.21,19.84,3620.2,67.38,12.48,-1.78,0.36,2.44,137.07,46.73,37.94,17.04,0.4571,CUKUP INKLUSIF
Selayar,2021,1550.58,31.6,124.49,5.71,5.51,688.54,340.01,84.74,9.24,141.47,44.97,65.27,0.57,319.14,244.96,87.76,20.99,3765.56,67.76,12.45,4.02,0.35,2.81,138.16,49.47,42.07,16.93,0.5568,CUKUP INKLUSIF
Selayar,2022,1591.13,34.02,133.48,5.76,5.74,719.95,366.73,94.63,10.49,143.78,45.17,65.74,0.58,312.04,257.68,95.22,21.64,3903.8,68.35,12.24,3.67,0.35,1.49,139.66,53.56,39.37,16.74,0.5579,CUKUP INKLUSIF
Selayar,2023,1643.05,35.22,138.53,6.21,5.75,744.81,384.71,99.21,11.03,153.05,46.46,68.95,0.6,318.64,268.07,100.31,22.77,4047.38,69.2,12.27,3.68,0.35,1.98,141.18,56.57,38.56,16.89,0.5674,CUKUP INKLUSIF
Selayar,2024,1665.77,35.2,146.21,6.44,5.79,760.5,406.5,101.61,11.71,160.46,47.59,71.53,0.64,344.33,282.98,109.64,25.44,4182.33,70.03,10.79,3.33,0.33,2.05,142.7,58.45,46.8,14.94,0.5858,CUKUP INKLUSIF
Selayar,2025,1720.33,35.47,156.77,6.45,5.93,779.41,430.74,107.79,12.52,165.64,50.16,74.85,0.67,365.39,293.79,115.4,27.59,4348.91,72.78,10.61,3.98,0.32,2.48,144.2,62.11,41.01,14.77,0.6332,CUKUP INKLUSIF
Sidrap,2010,1594.97,128.74,539.08,5.08,1.27,592.66,479.5,80.76,27.67,111.52,112.19,193.14,4.45,277.81,183.22,60.52,43.52,4436.09,65.54,6.99,6.24,0.38,8.76,271.91,16.26,32.216,19.0,0.5442,CUKUP INKLUSIF
Sidrap,2011,1869.12,161.42,674.86,5.7,1.47,714.1,564.12,88.95,31.06,125.76,134.21,222.22,5.23,325.36,214.02,69.05,47.9,5254.54,65.88,6.29,9.63,0.38,4.78,276.33,19.02,32.425,17.3,0.5995,CUKUP INKLUSIF
Sidrap,2012,2154.54,202.92,814.27,6.16,1.56,841.2,650.2,98.24,35.76,153.37,174.25,249.26,6.09,348.25,237.61,79.89,54.79,6108.34,66.19,6.0,8.93,0.37,6.99,279.81,21.83,32.634,16.9,0.5995,CUKUP INKLUSIF
Sidrap,2013,2362.31,251.07,959.59,6.26,1.68,993.43,714.9,114.34,40.93,180.23,206.76,288.59,7.1,377.08,276.57,91.98,63.22,6936.04,67.15,6.3,6.93,0.37,7.62,283.31,24.48,32.844,17.9,0.5797,CUKUP INKLUSIF
Sidrap,2014,2740.82,355.42,1145.91,6.9,1.8,1133.05,783.88,143.17,47.41,204.59,237.2,333.8,8.06,422.18,298.98,109.94,74.37,8047.48,68.14,5.82,7.87,0.35,6.2,286.61,28.08,32.723,16.7,0.6195,CUKUP INKLUSIF
Sidrap,2015,3102.91,441.34,1342.68,6.5,1.87,1322.84,887.81,187.93,54.97,227.61,275.68,387.15,9.35,512.12,333.39,129.25,85.9,9309.29,69.0,5.55,8.03,0.36,6.97,289.48,32.12,33.262,16.03,0.624,CUKUP INKLUSIF
Sidrap,2016,3741.2,521.82,1545.49,7.4,2.04,1545.08,993.8,206.58,62.09,247.22,327.49,435.21,11.05,489.61,383.64,150.62,100.12,10770.43,69.39,5.45,8.77,0.38,6.97,292.13,36.66,33.801,15.92,0.6249,CUKUP INKLUSIF
