kabupaten;tahun;Pelayanan_Umum;Ketertiban_aman;Ekonomi;Lingk_hidup;Perum_Fasum;Kesehatan;Pariwisata;Pendidikan;Perlindungan_Sosial;Total;A_Pertanian_KP;B_Pertambangan;C_Industri_Pengolahan;D_Pengadaan_LG;E_Pengadaan_Air_dll;F_Konstruksi;G_Perdagangan_Besar_dll;H_Transportasi;I_Penyediaan_AkMamin;J_Infokom;K_Jasa_Keuangan;L_Real_Estate;M_N_Jasa_Perusahaan;O_Administrasi_Pem;P_Jasa_Pendidikan;Q_Jasa_KesSos;R_S_T_U_Jasa_Lain;PDRB;ipm;miskin;pertumbuhan;gini;unemploy;pop_ribujiwa;pdrb_perkap;pct_formal;pend_miskin
Bone;2020;1082,3;37,3;66,3;11,5;150,6;533,6;11,9;528,6;9,1;2431,3;10207,02;695,39;1541,61;27,87;9,79;2201,28;698,26;2905,24;482,2;117,28;560,59;618,2;13,68;1024,89;613,88;263,9;72,67;22053,74;66,06;10,68;-0,25;0,4;3,2;801,77;45,68;25,73;81,33
Bone;2021;966,4;37,5;100,2;12,3;159,7;454,2;6,3;511,6;22,1;2270,3;10965,84;703,06;1625,18;32,28;10,02;2321,68;705,14;2966,12;505,48;120,72;596,1;660,59;14,05;1069,51;623,54;277,57;76,98;23273,87;66,4;10,52;5,53;0,38;4,15;808,94;48,67;27,22;79,64
Bone;2022;974,6;29,3;491,2;25,4;63,5;444,8;6,9;512,6;10,2;2558,5;11524,54;720,06;1752,2;36,95;10,42;2462,22;717,67;3098,14;547,62;131,32;679,44;676,66;15,28;1120,18;618,44;289,56;91,01;24491,73;67,01;10,58;5,23;0,38;2,27;816,01;53,48;27,84;80,34
Bone;2023;1017,4;27,1;243,5;14,7;56,6;481,6;8,5;597,1;11,4;2457,9;11837,18;739,52;1833,03;39,16;10,07;2535,64;785,36;3243,78;610,43;141,71;707,14;679,21;18,53;1126,94;698,48;294,12;115,72;25416,03;67,81;10,53;3,77;0,39;2,88;823,08;57,02;29,15;80,12
Bone;2024;1095,5;0,0;0,0;0,0;0,0;501,6;5,6;621,0;0,0;2077,1;12569,58;742,05;1923,86;40,66;10,02;2587,96;830,12;3439,02;652,07;147,65;730,19;717,64;19,33;1204,07;758,7;321,1;131,36;26825,37;68,36;9,58;5,56;0,39;2,28;830,12;60,26;28,42;73,03
Bone;2025;1121,0;0,0;0,0;0,0;0,0;515,3;6,7;663,8;0,0;2170,9;13499,54;739,3;2082,15;41,09;10,16;2660,52;3628,19;694,51;157,36;762,4;782,08;868,28;20,29;1227,76;787,68;340,07;146,01;28447,38;71,63;9,13;6,03;0,39;2,75;837,1;64,76;34,97;69,73
Bulukumba;2014;161,7;7,3;70,8;17,5;154,0;130,5;5,8;505,5;19,4;1072,4;2871,18;104,22;435,15;10,97;2,82;519,94;909,73;133,58;33,5;223,67;207,88;249,87;1,2;419,99;181,08;64,69;44,23;6413,7;65,24;8,37;8,54;0,42;2,8;407,77;20,54;33,47;34,2
Bulukumba;2015;280,5;10,7;80,3;21,2;186,9;205,5;9,6;549,8;26,1;1370,7;2916,53;121,46;470,35;11,46;2,83;565,18;991,35;142,98;37,54;241,4;225,56;281,34;1,28;449,7;196,21;70,73;48,41;6774,32;65,58;8,15;5,62;0,39;3;410,24;23,31;27,95;33,36
Bulukumba;2016;10,7;79,5;1,1;3,6;1,3;58,0;64,4;3,1;96,9;318,6;3041,37;139,55;495,89;12,96;2,95;614,38;1099,11;152,2;42,58;265,24;255,51;320,27;1,35;447,55;212,61;76,75;52,59;7232,84;66,46;8,06;6,77;0,38;3;412,68;26,06;37,39;33,25
Bulukumba;2017;330,5;14,7;69,7;264,0;35,5;269,9;11,7;461,2;33,2;1490,4;3203,65;157,74;511,17;13,7;3,08;671,64;1197,5;165,81;47,87;290,11;263,32;360,44;1,48;469,04;232,9;83,7;57,75;7730,91;67,08;7,97;6,89;0,32;3,73;414,79;29,03;36,96;33,1
